1.)HTML stands for?,a)HighText Machine Language,b)HyperText and links Markup Language,c)HyperText Markup Language,d)None of these,3
2.)The correct sequence of HTML tags for starting a webpage is ?,a)Head-Title-HTML-body,b)HTML-Body-Title-Head,c)HTML-Head-Title-Body,d)HTML-Head-Title-Body,4
3.)Which of the following element is responsible for making the text bold in HTML?,a)<pre>,b)<a>,c)<b>,d)<br>,3
4.)Which of the following tag is used for inserting the largest heading in HTML?,a)<h3>,b)<h1>,c)<h5>,d)<h6>,2
5.)Which of the following tag is used to insert a line-break in HTML?,a)<br>,b)<a>,c)<pre>,d)<b>,1
6.)How to create an unordered list (a list with the list items in bullets) in HTML?,a)<ul>,b)<ol>,c)<li>,d)<i>,1
7.)Which of the following element is responsible for making the text italic in HTML?,a)<i>,b)<italic>,c)<it>,d)<pre>,1
8.)How to create an ordered list (a list with the list items in numbers) in HTML?,a)<ul>,b)<ol>,c)<li>,d)<i>,2
9.)<input> is?,a)a format tag,b)an empty tag,c)All of the above,d)None of the above,2
10.)Which of the following attribute is used to provide a unique name to an element?,a)class,b)id,c)type,d)None of the above,2

